"IDLink","TS1","TS2","TS3","TS4","TS5","TS6","TS7","TS8","TS9","TS10","TS11","TS12","TS13","TS14","TS15","TS16","TS17","TS18","TS19","TS20","TS21","TS22","TS23","TS24","TS25","TS26","TS27","TS28","TS29","TS30","TS31","TS32","TS33","TS34","TS35","TS36","TS37","TS38","TS39","TS40","TS41","TS42","TS43","TS44","TS45","TS46","TS47","TS48","TS49","TS50","TS51","TS52","TS53","TS54","TS55","TS56","TS57","TS58","TS59","TS60","TS61","TS62","TS63","TS64","TS65","TS66","TS67","TS68","TS69","TS70","TS71","TS72","TS73","TS74","TS75","TS76","TS77","TS78","TS79","TS80","TS81","TS82","TS83","TS84","TS85","TS86","TS87","TS88","TS89","TS90","TS91","TS92","TS93","TS94","TS95","TS96","TS97","TS98","TS99","TS100","TS101","TS102","TS103","TS104","TS105","TS106","TS107","TS108","TS109","TS110","TS111","TS112","TS113","TS114","TS115","TS116","TS117","TS118","TS119","TS120","TS121","TS122","TS123","TS124","TS125","TS126","TS127","TS128","TS129","TS130","TS131","TS132","TS133","TS134","TS135","TS136","TS137","TS138","TS139","TS140","TS141","TS142","TS143","TS144"
61874,-1,-1,-1,-1,-1,-1,-1,-1,-1,394,416,430,451,462,465,472,482,492,506,512,522,529,535,548,557,562,567,580,583,587,589,591,594,597,600,602,608,610,612,613,614,616,619,621,623,625,626,627,630,632,634,636,637,640,645,648,652,656,662,664,667,670,670,674,674,676,677,679,682,685,686,691,692,695,697,697,699,699,699,701,704,709,710,711,712,712,712,715,715,715,717,719,719,722,724,728,730,732,732,734,736,739,739,740,741,743,743,743,745,745,745,746,747,747,747,747,747,747,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748
61875,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,169,187,205,214,224,242,254,264,277,291,299,309,314,322,333,342,349,353,354,358,359,362,364,370,374,378,381,385,387,391,393,395,396,397,401,402,405,406,407,409,413,416,418,424,428,434,437,439,444,447,452,453,458,460,462,467,472,474,477,483,485,488,493,494,496,499,502,503,503,511,512,514,516,516,516,517,521,521,522,524,525,525,527,529,529,529,530,531,531,531,532,534,534,535,536,537,537,537,539,540,542,543,543,543,544,544,544,544,544,545,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546
61876,-1,-1,-1,-1,-1,-1,44,45,48,51,52,52,53,54,56,57,57,57,57,57,57,57,60,66,71,74,75,77,77,77,78,78,78,83,93,98,100,102,107,110,112,113,114,115,117,118,119,119,119,119,121,121,122,123,123,123,123,123,123,126,126,127,128,128,129,129,129,130,130,132,132,132,132,133,133,133,135,135,136,136,136,136,136,136,136,136,136,136,137,137,137,137,138,138,138,138,138,138,138,138,138,138,138,138,138,138,139,139,139,139,139,139,139,139,139,139,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
61877,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111,112,113,114,116,116,116,117,117,121,123,127,127,129,130,133,133,137,140,145,146,147,147,148,150,151,151,153,154,154,154,154,155,155,155,156,156,157,158,159,162,163,163,163,165,165,166,166,167,167,167,168,169,170,170,170,170,170,170,170,170,171,171,171,171,172,172,172,172,172,172,172,172,172,172,172,172,174,174,174,175,175,175,175,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
61878,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,29,29,29,29,29,29,30,32,33,33,33,35,38,40,45,47,50,68,73,77,81,82,84,86,89,92,92,94,94,96,98,99,99,99,101,103,103,104,105,106,108,112,115,122,128,131,134,140,141,145,152,159,164,165,167,169,172,176,178,178,179,179,180,184,185,186,187,188,188,193,193,193,193,193,194,194,194,196,196,197,197,197,197,199,200,200,200,201,201,203,204,204,204,204,204,204,204,204,204,204,205,205,205,205,205,205,205,205,205,205,205,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
61879,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,113,115,119,121,123,124,126,126,127,127,128,130,132,132,133,133,135,138,139,147,150,151,152,152,152,154,155,157,158,160,160,161,162,162,163,163,164,167,167,167,167,168,168,169,173,176,178,179,180,183,183,186,188,190,192,195,196,196,196,197,197,197,197,197,197,198,199,199,199,199,199,200,201,201,201,201,201,201,201,201,202,202,202,202,202,203,203,203,204,204,204,204,204,204,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205
61880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,557,570,589,605,616,626,640,646,654,662,669,679,687,694,699,709,716,723,726,733,738,744,750,758,761,766,768,774,776,779,782,783,786,787,789,790,791,795,802,803,805,810,816,818,821,823,827,829,830,831,835,837,838,841,843,847,850,853,857,858,864,865,870,872,873,876,877,884,886,886,888,888,889,893,900,911,920,924,932,937,944,948,953,957,961,965,966,969,971,974,977,990,993,999,1002,1003,1005,1007,1009,1012,1013,1015,1015,1016,1016,1018,1019,1020,1020,1020,1021,1023,1023,1023,1023,1023,1023
61881,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,70,74,74,76,76,76,78,80,82,89,91,97,104,110,112,114,115,115,117,119,121,122,123,123,123,123,126,126,126,127,127,128,128,129,130,131,132,133,136,139,142,143,150,155,157,160,165,166,168,168,169,171,171,171,171,172,172,172,172,172,173,173,173,173,174,174,174,176,176,176,176,176,177,177,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
61882,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,408,412,418,421,422,424,427,433,434,441,447,450,456,462,471,479,482,486,488,489,491,496,499,500,500,501,501,502,503,504,508,509,511,511,513,515,515,517,517,517,519,522,528,529,531,533,538,538,541,543,544,550,553,557,557,558,562,563,564,566,566,569,572,572,573,576,576,578,578,578,581,583,583,584,584,586,586,587,589,589,590,590,592,592,594,594,597,597,599,599,599,599,599,600,600,600,600,601,601,603,605,605,605,605,606,607,607,607,608,608,608,609,609,609,609,609,609,609,609,609,609,609,609
61883,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,999,1067,1124,1174,1202,1224,1248,1271,1292,1314,1329,1343,1366,1379,1395,1426,1445,1452,1472,1479,1488,1493,1501,1508,1513,1516,1522,1525,1528,1530,1532,1534,1538,1541,1542,1543,1544,1544,1547,1550,1560,1566,1570,1573,1579,1585,1589,1595,1602,1607,1614,1627,1633,1644,1647,1656,1658,1671,1676,1677,1678,1685,1691,1694,1697,1697,1701,1703,1707,1707,1710,1713,1714,1715,1718,1719,1725,1726,1728,1731,1732,1737,1737,1742,1743,1743,1745,1747,1750,1754,1755,1755,1755,1757,1759,1759,1760,1760,1760,1760,1760,1761,1761,1761,1761,1761,1761,1761,1761,1761,1761,1761,1761,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762
61885,-1,-1,-1,-1,-1,-1,282,292,311,317,326,331,344,353,365,374,384,398,416,431,441,451,465,475,485,492,495,500,507,510,516,521,524,526,530,534,534,536,539,540,540,543,547,550,554,557,559,563,565,568,571,574,575,585,593,601,608,615,617,621,625,632,638,646,650,653,655,659,662,664,667,667,667,668,670,670,677,679,679,682,682,682,682,685,686,689,690,691,693,694,695,695,696,696,698,702,703,704,706,707,707,708,709,709,710,710,710,710,712,713,713,713,713,713,713,714,714,714,715,715,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716
61886,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2030,2072,2131,2183,2229,2276,2328,2384,2443,2498,2536,2580,2623,2668,2709,2740,2771,2812,2850,2891,2914,2942,2963,2985,3005,3021,3029,3041,3051,3064,3064,3080,3095,3108,3121,3132,3149,3162,3178,3198,3216,3242,3265,3279,3306,3318,3343,3360,3373,3398,3416,3436,3452,3463,3482,3503,3522,3537,3553,3583,3602,3624,3639,3653,3664,3675,3687,3698,3707,3707,3732,3741,3756,3769,3776,3784,3795,3807,3822,3833,3843,3855,3868,3880,3891,3905,3914,3924,3936,3956,3968,3982,3989,3998,4005,4015,4020,4025,4035,4038,4041,4044,4049,4053,4056,4059,4061,4065,4070,4078,4084,4088,4088,4092
61887,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,330,330,330,330
